ID;Concept;Question
ALG_01;QuickSort (average vs worst-case complexity);"What is the time complexity of Quicksort in the average case and worst case, and what causes the worst-case behavior?"
ALG_02;Dijkstra's algorithm (negative edge limitation);"Why does Dijkstra's algorithm not work correctly on graphs with negative edge weights, and what underlying assumption would be violated?"
ALG_03;Dynamic Programming vs Greedy;"What is the key difference between dynamic programming and greedy algorithms in terms of how they approach subproblems, and in what situations would you choose one over the other?"
ALG_04;Hash tables (collisions and load factor);"What is a collision in a hash table and how does the load factor affect the performance of hash table operations?"
ALG_05;AVL vs Red-Black trees;"What are the main differences between AVL trees and Red-Black trees in terms of balancing strictness and the resulting performance trade-offs for search, insertion, and deletion operations?"
ALG_06;BFS vs DFS memory usage;"Compare BFS and DFS in terms of their auxiliary space complexity, explaining which algorithm typically requires more memory and why this difference occurs based on the underlying data structures used."
ALG_07;Space complexity and time-space trade-off;"What is space complexity and what does a time-space trade-off mean in algorithm design, providing a concrete example of this trade-off?"
PLP_01;Inheritance and Liskov Substitution Principle (LSP);"What is inheritance in object-oriented programming and what does the Liskov Substitution Principle require from subtypes to ensure correctness when substituting them for their base types?"
PLP_02;Interface vs Abstract Class;"What is the difference between an interface and an abstract class in terms of method implementation, instance state, and inheritance constraints, and in what situations would you prefer one over the other?"
PLP_03;Closures and lexical scope;"What is lexical scope and how does it enable a closure to retain access to variables from its enclosing scope even when the function is executed outside that scope?"
PLP_04;Static vs Dynamic typing and type safety;"What is the difference between static and dynamic typing in terms of when type checking occurs, and what does type safety guarantee in a programming language?"
PLP_05;Checked vs Unchecked exceptions;"What is the difference between checked and unchecked exceptions in terms of recoverability and what type of error each is intended to signal?"
PLP_06;Garbage Collection: Mark-and-Sweep vs Reference Counting;"How do reference counting and mark-and-sweep garbage collection differ in their approach to identifying unreachable objects, and what is the key limitation of reference counting that mark-and-sweep overcomes?"
PLP_07;Multithreading vs Asynchronous programming;"What is the difference between multithreading and asynchronous programming in terms of how they achieve concurrency, and why does asynchronous programming not require a dedicated thread for each concurrent operation?"
DB_01;ACID properties (Isolation vs Consistency);"What are the ACID properties of database transactions, and what is the distinction between Consistency and Isolation in terms of what each property guarantees?"
DB_02;Normalization (1NF, 2NF, 3NF);"What are the requirements for First, Second, and Third Normal Form, and why is 3NF generally considered a sufficient practical design goal for most databases?"
DB_03;SQL JOIN: INNER vs OUTER;"What is the difference between INNER JOIN and the various OUTER JOIN types (LEFT, RIGHT, FULL) in terms of which rows are included in the result set when matching rows are absent?"
DB_04;B-tree indexes when not beneficial;"Under what conditions might a B-tree index not accelerate a query, and why might a full table scan be chosen by the query optimizer instead?"
DB_05;Transaction isolation levels: Read Committed vs Serializable;"What is the difference between the Read Committed and Serializable isolation levels in terms of which concurrency phenomena each prevents, and what is the trade-off of using a higher isolation level?"
DB_06;CAP theorem;"What does the CAP theorem state about the guarantees a distributed system can simultaneously provide, and how is it commonly interpreted as a trade-off in practice?"
DB_07;Denormalization;"What is denormalization, why is it performed despite the principles of normalization, and what are the primary drawbacks of introducing redundancy into a relational schema?"
NET_01;TCP three-way handshake;"What are the steps of the TCP three-way handshake, and what is the purpose of synchronizing initial sequence numbers between client and server during connection establishment?"
NET_02;OSI model vs TCP/IP model;"What are the main structural differences between the OSI model and the TCP/IP model in terms of the number of layers and how the upper layers of OSI are consolidated in TCP/IP?"
NET_03;DNS resolution: Recursive vs Iterative;"What is the difference between recursive and iterative DNS resolution in terms of which entity bears the responsibility for completing the full name resolution process?"
NET_04;IP addressing and CIDR;"How does CIDR notation represent IP address prefixes, and what advantages does classless addressing offer over the older classful addressing scheme?"
NET_05;HTTP methods and idempotency;"What does idempotency mean in the context of HTTP methods, and why are GET, PUT, and DELETE considered idempotent whereas POST is not?"
NET_06;Distance-vector vs Link-state routing;"What is the fundamental difference between distance-vector routing protocols like RIP and link-state protocols like OSPF in terms of the information each router possesses and the algorithm used to compute paths?"
NET_07;TLS handshake: RSA vs Diffie-Hellman;"What is the difference between RSA-based and Diffie-Hellman-based key exchange during a TLS handshake in terms of how the pre-master secret is established, and what security property does Diffie-Hellman provide that RSA does not?"
OS_01;Processes vs Threads;"What is the difference between a process and a thread in terms of memory space and resource sharing, and what advantage do threads offer over processes for concurrent execution?"
OS_02;Context switching;"What is a context switch, what state information must be saved and restored, and why does frequent context switching incur performance overhead?"
OS_03;CPU scheduling algorithms;"Compare FCFS, SJF, and Round Robin CPU scheduling algorithms in terms of how each selects the next process to execute and what trade-offs exist between waiting time, fairness, and responsiveness."
OS_04;Deadlock conditions;"What four conditions must simultaneously hold for a deadlock to occur, and how can breaking any one of these conditions prevent deadlock?"
OS_05;Virtual memory and paging;"What is the purpose of virtual memory and how does paging enable a process to execute without being fully loaded into physical memory?"
OS_06;Paging vs Segmentation;"What is the difference between paging and segmentation as memory management schemes in terms of how memory is divided and what types of fragmentation each scheme is susceptible to?"
OS_07;Semaphores and synchronization;"What is a semaphore, how does it differ from a mutex in terms of counting capability, and how is it used to enforce mutual exclusion and coordinate access to shared resources?"